,id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_days_active,verification_count,property_type_category,bathrooms_type,amenities_count
4480,34803941,2019-05-15,4,1,3,0,1,1,1,1,53.35141,-6.27052,16,0,6.0,2,2.0,3.0,5151,400.0,1.0,180.0,8.0,0.0,0.0,2019-06-14,4.75,4.25,5.0,4.88,4.75,4.88,4.5,1,8.0,8.0,0.0,0.0,0.2,1215.0,2,0,3,443
4481,34812856,2018-07-18,1,4,3,0,1,1,1,1,53.3434,-6.26398,40,2,1.0,3,1.0,1.0,1254,90.0,1.0,29.0,6.0,0.0,0.0,2019-05-19,4.33,4.33,4.33,4.33,4.33,5.0,4.33,1,1.0,0.0,1.0,0.0,0.15,1516.0,2,3,3,924
4482,34835048,2019-05-07,1,4,2,0,5,1,0,1,53.35224,-6.26483,16,0,7.0,2,2.0,3.0,4510,580.0,4.0,1125.0,6.0,0.0,0.0,2019-05-22,3.83,3.83,4.17,4.33,4.5,5.0,3.83,0,5.0,5.0,0.0,0.0,0.15,1223.0,1,0,3,484
4483,34835160,2017-04-22,1,4,3,0,1,1,1,1,53.34912,-6.26658,40,2,2.0,4,1.0,1.0,1292,70.0,1.0,15.0,43.0,0.0,0.0,2019-05-26,4.4,4.74,4.07,4.88,4.83,4.9,4.48,0,1.0,0.0,1.0,0.0,1.07,1968.0,2,3,4,201
4484,34836065,2019-05-02,1,4,3,0,1,1,0,1,53.34425,-6.27414,40,2,2.0,3,1.0,1.0,1662,129.0,1.0,7.0,3.0,0.0,0.0,2019-06-09,5.0,5.0,4.67,4.33,5.0,5.0,4.67,0,2.0,0.0,2.0,0.0,0.08,1228.0,2,3,3,218
4485,34838791,2019-04-12,3,1,2,1,0,1,1,1,53.33324,-6.27237,31,2,2.0,29,1.0,1.0,5023,202.0,2.0,100.0,228.88497850198831,66.62614730882797,7.1321923032480665,2019-05-26,4.91,4.94,4.88,4.96,4.97,4.91,4.79,0,1.0,0.0,1.0,0.0,5.78,1248.0,3,3,2,499
4486,34851952,2018-02-24,1,4,3,0,0,1,1,0,53.27063,-6.2057,40,2,1.0,5,1.0,1.0,1371,70.0,1.0,1125.0,2.0,0.0,0.0,2019-05-21,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.05,1660.0,3,3,5,261
4487,34853246,2018-07-24,1,4,3,0,5,1,0,1,53.32183,-6.29016,37,2,3.0,8,2.0,2.0,2269,25.0,1.0,29.0,7.0,0.0,0.0,2019-07-09,4.86,5.0,4.86,5.0,5.0,4.71,4.86,1,1.0,0.0,1.0,0.0,0.18,1510.0,1,3,8,219
4488,34856855,2015-08-04,1,4,3,0,1,1,1,2,53.39675,-6.41898,12,0,2.0,2,1.5239777204184215,1.0,5218,47.0,2.0,14.0,15.0,0.0,0.0,2019-07-05,4.93,5.0,4.87,5.0,4.8,4.87,4.93,1,1.0,1.0,0.0,0.0,0.39,2595.0,2,0,3,335
4489,34858470,2017-12-08,1,4,3,0,1,1,0,1,53.35382,-6.22948,40,2,2.0,3,1.0,1.0,761,39.0,3.0,30.0,1.0,0.0,0.0,2019-10-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.03,1738.0,2,3,3,167
4490,34861194,2016-07-06,3,1,1,1,1,1,1,1,53.34067,-6.27781,10,0,1.0,2,1.0,1.0,3972,60.0,15.0,90.0,16.0,6.0,0.0,2019-06-01,4.88,5.0,4.63,5.0,5.0,4.94,4.88,0,1.0,1.0,0.0,0.0,0.4,2258.0,2,0,3,510
4491,34864248,2017-05-28,1,4,2,0,1,1,1,2,53.39125,-6.39061,40,2,1.0,3,1.0,1.0,2217,250.0,3.0,1125.0,3.0,1.0,0.0,2021-08-08,4.33,3.67,4.33,4.33,4.33,3.6743084415529834,3.2891489892359975,1,1.0,0.0,1.0,0.0,0.22,1932.0,2,3,3,299
4492,34879281,2015-11-16,1,4,3,0,1,1,0,1,53.36171,-6.28582,44,2,2.0,4,1.0,1.0,1221,40.0,3.0,1125.0,3.0,0.0,0.0,2019-05-29,4.33,4.67,4.67,4.0,4.33,4.33,4.67,0,1.0,0.0,1.0,0.0,0.07,2491.0,2,3,4,174
4493,34886933,2015-09-28,1,4,3,0,1,1,1,1,53.3197,-6.2832,13,0,8.0,13,4.0,4.0,2441,375.0,2.0,1125.0,2.0,0.0,0.0,2019-05-31,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1,1.0,1.0,0.0,0.0,0.05,2540.0,2,0,13,271
4494,34889972,2019-05-20,1,4,3,0,1,1,1,1,53.31631,-6.2677,40,2,2.0,4,1.0,2.0,885,30.0,1.0,3.0,3.0,0.0,0.0,2019-06-02,5.0,5.0,5.0,5.0,5.0,4.67,5.0,1,1.0,0.0,1.0,0.0,0.08,1210.0,2,3,4,809
4495,34891141,2019-05-20,1,4,3,0,5,1,0,1,53.34763,-6.28088,40,2,2.0,3,1.0,1.0,636,70.0,1.0,5.0,7.0,0.0,0.0,2019-07-07,4.0,4.83,4.33,4.33,4.83,4.83,4.83,1,1.0,0.0,1.0,0.0,0.18,1210.0,1,3,3,238
4496,34894834,2011-05-12,1,4,3,0,1,1,1,1,53.39413,-6.2753,16,0,2.0,2,1.0,2.0,4577,70.0,2.0,1125.0,28.0,0.0,0.0,2019-06-02,4.61,4.89,4.61,4.89,4.96,4.54,4.64,1,1.0,1.0,0.0,0.0,0.7,4140.0,2,0,3,582
4497,34897418,2014-06-19,0,0,0,0,1,1,1,1,53.31787,-6.28377,37,2,1.0,4,1.0,1.0,1505,36.0,60.0,180.0,1.0,1.0,1.0,2022-08-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,1.0,3006.0,2,3,4,301
4498,34931021,2019-04-20,4,1,3,1,1,1,1,1,53.34016,-6.26514,51,2,1.0,2,1.0,1.0,2250,249.0,1.0,1125.0,38.0,21.0,0.0,2019-11-04,4.87,4.84,4.79,4.97,4.97,4.95,4.82,1,8.0,0.0,8.0,0.0,1.09,1240.0,2,1,3,112
